h_2_0,h_2_1,h_2_2,h_2_3
0.023046613,0.9259766,0.9352782,0.9356992
0.020142764,0.9284607,0.9290862,0.023690253
0.02022928,0.9287312,0.92930526,0.02360639
0.0213674,0.018013835,0.9307705,0.024472237
0.024192601,0.9271611,0.021919012,0.02198106
0.93461734,0.9340441,0.02296096,0.9263573
0.92668724,0.022936642,0.9356116,0.93585694
0.92823976,0.024079204,0.021908462,0.02192393
0.021298856,0.017986417,0.9302609,0.02435401
0.020932317,0.93153656,0.018354952,0.021039307
0.9344269,0.9341145,0.93429625,0.9343376
0.017671824,0.02049017,0.9369911,0.93752813
0.93669945,0.93671846,0.019756734,0.92765236
0.9273964,0.023584932,0.9284521,0.02416259
0.9387673,0.93841493,0.017820269,0.017769247
0.93198085,0.024131656,0.018298328,0.018294603
0.019642144,0.92701316,0.935534,0.9358109
0.93432546,0.9338473,0.9339082,0.9336816
0.023847908,0.9273772,0.9287681,0.02429086
0.018337905,0.021161497,0.020830333,0.9314194
0.93062115,0.020390779,0.020945191,0.018071055
0.023649752,0.92891717,0.020164847,0.9291972
0.021927059,0.018722922,0.018802494,0.021814138
0.02056089,0.9295021,0.020808667,0.018137366
0.024311095,0.931155,0.018185258,0.018255651
0.9277319,0.023950636,0.021930486,0.02197209
0.9384045,0.9382211,0.017812282,0.017764747
0.020467818,0.9303911,0.02026996,0.929319
0.023492128,0.92619,0.023748636,0.92809576
0.92902553,0.020143956,0.9290733,0.02340576
0.9294156,0.020177186,0.92957175,0.023518771
0.018519461,0.018602222,0.020874202,0.9311369
0.018096685,0.021137029,0.9305129,0.024589032
0.02381146,0.9271416,0.9279374,0.023969084
0.92753077,0.01978296,0.023448616,0.92813814
0.020439267,0.9303687,0.02028957,0.9297384
0.93778706,0.93772036,0.017900944,0.020803839
0.024472535,0.9303038,0.018301785,0.021651655
0.018232256,0.018208027,0.93101007,0.023869008
0.9385454,0.93824124,0.01779607,0.017721802
0.02057916,0.017562509,0.93664026,0.93683285
0.018148124,0.02119875,0.9310185,0.024709791
0.021002293,0.020800352,0.9366727,0.93735015
0.020421743,0.9301053,0.020247728,0.9290786
0.023719132,0.9292288,0.020184904,0.9294496
0.023689926,0.92894197,0.020147026,0.928751
0.018250257,0.020825833,0.9306526,0.02084747
0.017855853,0.020814508,0.024276048,0.9306184
0.019878,0.9275167,0.0234783,0.929005
0.023154408,0.9263382,0.9351533,0.93552494
0.93508923,0.9348975,0.9275657,0.02339539
0.9355119,0.9351109,0.9275848,0.023344547
0.02131319,0.021066993,0.024733573,0.9300917
0.02118659,0.018111378,0.93088806,0.02075848
0.017823488,0.017838866,0.9373959,0.93734837
0.93422174,0.9339107,0.9335694,0.9336623
0.019703776,0.92725706,0.93597305,0.93605614
0.936062,0.93624324,0.019727886,0.9274343
