h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7
0.97430044,1.5556812e-05,0.9742973,1.6003847e-05,3.0726194e-05,0.9545217,0.974403,1.564622e-05
0.035993487,0.01711893,0.036169797,0.017353237,0.97672963,1.5705824e-05,3.4421682e-05,0.9540537
0.033404827,0.017611414,0.97435725,1.5884638e-05,0.97437704,1.5765429e-05,0.033296466,0.017663985
0.034850925,0.01743108,0.034586817,0.017805845,0.034317285,0.017353773,0.97532,1.513958e-05
0.036762863,0.017462224,0.036643922,0.017882079,3.4302473e-05,0.95431477,0.9769857,1.5676022e-05
0.034264177,0.017276257,0.975322,1.5437603e-05,0.9754825,1.5705824e-05,3.2514334e-05,0.95387304
0.033001333,0.017452955,0.9739928,1.5735626e-05,0.97422504,1.5676022e-05,0.032920122,0.01752913
0.9714726,1.552701e-05,0.9713446,1.5944242e-05,0.97146815,1.5974045e-05,0.97159564,1.5735626e-05
3.451109e-05,0.95324206,0.036655366,0.017617375,0.036955267,0.017468631,0.97671103,1.54078e-05
0.038153917,0.017163157,3.59416e-05,0.95353615,3.59118e-05,0.95367324,0.97790223,1.5348196e-05
3.582239e-05,0.95285845,0.038456053,0.017528206,3.6269426e-05,0.95397425,0.97809535,1.5676022e-05
0.036448807,0.017329276,0.036101848,0.01761061,0.0359433,0.017212033,0.035985947,0.016975552
0.039291263,0.017562985,0.03858143,0.017736822,0.03871292,0.017395973,3.6001205e-05,0.9528047
0.034810513,0.017376304,0.034753412,0.017677158,0.034997046,0.01765412,0.97549474,1.5467405e-05
0.03418699,0.017322332,0.9754759,1.5556812e-05,0.03440687,0.01764378,0.034857213,0.017612636
0.040471822,0.017172098,3.7938356e-05,0.9531443,0.040646017,0.017549753,3.8027763e-05,0.9532923
0.9742565,1.552701e-05,0.9740857,1.5705824e-05,0.974164,1.5735626e-05,3.0875206e-05,0.95383465
3.194809e-05,0.9528341,0.97523344,1.54078e-05,0.9755405,1.5586615e-05,0.034567952,0.01754418
0.97544336,1.5258789e-05,3.221631e-05,0.9542178,0.03421828,0.017641544,0.9754327,1.5288591e-05
0.03417793,0.017199755,0.034416974,0.01751268,0.034226567,0.017404437,0.97528136,1.5228987e-05
0.9731715,1.564622e-05,0.9729928,1.603365e-05,0.03170067,0.018099397,0.9731512,1.5735626e-05
0.0354954,0.017609924,0.034924984,0.017973006,0.03508976,0.017602682,0.9755331,1.5437603e-05
0.036566228,0.017217994,3.4183264e-05,0.95374227,0.036848843,0.01775828,0.97681755,1.5556812e-05
3.59118e-05,0.9529223,0.038419694,0.017415017,0.038074046,0.017159402,0.03821096,0.017120928
0.9771439,1.552701e-05,0.036583334,0.017796993,0.03666511,0.017580658,3.4183264e-05,0.95306975
0.9765389,1.5258789e-05,0.036194146,0.01762271,0.036028236,0.017738193,3.439188e-05,0.9535859
3.552437e-05,0.9528338,0.977751,1.5258789e-05,0.03805104,0.017315894,3.59118e-05,0.9531791
4.005432e-05,0.9529754,0.04250759,0.017306328,3.9964914e-05,0.9523857,3.9815903e-05,0.952404
0.03770536,0.017129868,0.03805828,0.01739481,3.59118e-05,0.9540798,0.03849393,0.017646998
0.038283974,0.017171413,3.555417e-05,0.9535726,0.037843198,0.017313719,0.038010925,0.017044395
0.042221636,0.017117351,3.9935112e-05,0.9529356,3.9756298e-05,0.9531392,3.9964914e-05,0.9528564
3.618002e-05,0.95329857,0.97796917,1.5467405e-05,0.03890413,0.017564267,3.6269426e-05,0.9538623
0.97550577,1.5318394e-05,0.03446147,0.017703682,0.97547644,1.5884638e-05,3.272295e-05,0.9540154
0.035746127,0.01709932,0.035924792,0.017320603,0.03584844,0.01726234,0.035930246,0.017089248
0.97696394,1.5348196e-05,3.4034252e-05,0.95414305,0.036645144,0.017748445,0.03646016,0.01740539
0.034255087,0.017154038,0.034204632,0.017400116,0.97535205,1.5497208e-05,0.03426987,0.017253667
0.04126337,0.017403036,3.8057566e-05,0.95389336,0.040753007,0.017498702,3.8176775e-05,0.9529892
0.0327501,0.01725474,0.03276649,0.017593145,0.97417194,1.5616417e-05,0.97407126,1.54078e-05
0.03440565,0.017097563,3.2126904e-05,0.9535277,0.975484,1.5676022e-05,0.975469,1.5467405e-05
0.9760823,1.5556812e-05,0.03504893,0.017994255,0.035007626,0.017725348,0.034908682,0.017468542
0.035912544,0.017164588,0.03639388,0.017465472,0.036228627,0.017747968,0.036821038,0.017683953
3.7640333e-05,0.9526543,0.040095657,0.017224014,0.03987068,0.017019242,3.7550926e-05,0.95214635
0.9754993,1.5199184e-05,3.194809e-05,0.95393026,0.97534597,1.564622e-05,0.034478933,0.017308712
0.03432229,0.01738888,0.9755237,1.5676022e-05,3.248453e-05,0.95418274,0.9756341,1.5676022e-05
3.4362078e-05,0.9530678,0.036584526,0.017495006,0.97681177,1.5377998e-05,0.036449194,0.017285705
