h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9,h_1_10,h_1_11,h_1_12,h_1_13,h_1_14,h_1_15,h_1_16,h_1_17,h_1_18,h_1_19,h_1_20,h_1_21,h_1_22,h_1_23,h_1_24,h_1_25,h_1_26,h_1_27,h_1_28,h_1_29,h_1_30,h_1_31,h_1_32,h_1_33,h_1_34,h_1_35,h_1_36,h_1_37,h_1_38,h_1_39,h_1_40,h_1_41,h_1_42,h_1_43,h_1_44,h_1_45,h_1_46,h_1_47,h_1_48,h_1_49,h_1_50,h_1_51,h_1_52,h_1_53,h_1_54,h_1_55,h_1_56,h_1_57,h_1_58,h_1_59,h_1_60,h_1_61,h_1_62,h_1_63,h_1_64,h_1_65,h_1_66,h_1_67,h_1_68,h_1_69,h_1_70,h_1_71,h_1_72,h_1_73,h_1_74,h_1_75,h_1_76,h_1_77,h_1_78,h_1_79,h_1_80,h_1_81,h_1_82,h_1_83,h_1_84,h_1_85,h_1_86,h_1_87,h_1_88,h_1_89,h_1_90,h_1_91,h_1_92,h_1_93,h_1_94,h_1_95,h_1_96,h_1_97,h_1_98,h_1_99
0.0,0.0,0.0,1.0120846,0.0,0.0,0.0,0.41309732,0.0,4.7270207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9217494,0.0,0.34002393,2.352574,0.0,0.0,0.0,1.1682056,0.0,0.0,0.0,2.102819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36931127,0.0,1.5740416,0.0,0.0,0.0,0.0,1.8861724,0.0,0.0,0.0,0.0,2.1964116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3536042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8421826,0.0,0.0,0.0,0.0,0.0,0.0
1.1203358,0.0,0.98237395,2.5860288,0.0,0.0,0.0,1.0896746,0.0,3.934419,0.0,0.0,0.0,0.0,0.93802965,0.0,0.0,0.0,0.0,1.1008731,0.5910379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3485849,0.0,2.202612,0.0,0.0,0.0,0.0,0.9138997,0.0,0.0,0.0,0.0,1.4210329,0.0,0.0,0.0,0.0,0.8649246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.560931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99551606,0.0,0.0,0.0,0.0,0.0,0.0,1.4977918,0.0,0.0,0.0,0.0,1.7728872,0.0
0.5072493,0.0,1.0077403,2.5369434,0.0,0.0,0.0,1.2434016,0.0,3.948694,0.0,0.0,0.0,0.0,1.1353407,0.0,0.0,0.0,0.0,1.4414912,0.911958,0.0,0.0,0.0,0.36942953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3784575,0.0,2.2774656,0.0,0.0,0.0,0.0,0.60805124,0.0,0.0,0.0,0.0,1.002568,0.0,0.0,0.0,0.0,0.8458428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6284785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68661857,0.0,0.0,0.0,0.0,0.0,0.0,2.0671377,0.0,0.0,0.0,0.0,1.4158661,0.0
0.0,0.0,0.0,1.4282272,0.0,0.0,0.0,0.34578627,0.0,5.0584483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47271305,0.0,0.3210656,2.6021416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7404973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47860074,0.0,1.5213622,0.0,0.0,0.0,0.0,1.8362561,0.0,0.0,0.0,0.0,2.072184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1139545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8602078,0.0,0.0,0.0,0.0,0.0,0.0
0.20063439,0.0,0.61008596,1.9685367,0.0,0.0,0.0,1.187489,0.0,3.366599,0.0,0.0,0.0,0.0,0.7740016,0.0,0.0,0.0,0.0,0.8600573,0.9411535,0.0,0.0,0.0,1.0314424,0.0,0.0,0.0,0.15884879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.598636,0.0,2.0679402,0.0,0.0,0.0,0.0,0.08372922,0.0,0.0,0.0,0.0,1.0544719,0.0,0.0,0.0,0.0,0.31292096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0323591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91071296,0.0,0.0,0.0,0.0,0.0,0.0,1.9400464,0.0,0.0,0.0,0.0,0.34904367,0.0
0.4189195,0.0,0.26523587,2.0517588,0.0,0.0,0.0,0.5301804,0.0,4.481473,0.0,0.0,0.0,0.0,0.053320326,0.0,0.0,0.044517,0.0,0.6434054,1.565091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84825146,0.0,1.8480266,0.0,0.0,0.0,0.0,1.3580555,0.0,0.0,0.0,0.0,2.0107758,0.0,0.0,0.0,0.0,0.24895869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0542827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15429814,0.0,0.0,0.0,0.0,0.0,0.0,1.5072124,0.0,0.0,0.0,0.0,0.64189094,0.0
0.0,0.0,0.08666071,1.0908192,0.0,0.0,0.0,0.30441046,0.0,3.8102026,0.0,0.0,0.0,0.0,0.14232089,0.0,0.0,0.52753794,0.0,0.3349687,1.6397319,0.0,0.0,0.0,0.24912815,0.0,0.0,0.0,0.8818858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6169536,0.0,1.4530753,0.0,0.0,0.0,0.0,1.1744692,0.0,0.0,0.0,0.0,1.589879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.311168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22442712,0.0,0.0,0.0,0.0,0.0,0.0,2.4792924,0.0,0.0,0.0,0.0,0.0,0.0
0.017292585,0.0,0.0,1.0107673,0.0,0.0,0.0,0.0,0.0,4.6365056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7549423,0.0,0.16280356,2.0442915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5860481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3069664,0.0,0.8805821,0.0,0.0,0.0,0.47562212,1.5552961,0.0,0.0,0.0,0.0,1.9549592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4478538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.079751,0.0,0.0,0.0,0.0,0.0,0.0
0.645667,0.0,0.13297842,1.2963386,0.0,0.0,0.0,0.43488783,0.0,4.4765115,0.0,0.0,0.0,0.0,0.056728363,0.0,0.0,0.8049659,0.0,0.5105385,1.419366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1497437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33424973,0.0,1.5912045,0.0,0.0,0.0,0.0,1.8972039,0.0,0.0,0.0,0.0,2.0628805,0.0,0.0,0.0,0.0,0.058325566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6498367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36999148,0.0,0.0,0.0,0.0,0.0,0.0,2.5416033,0.0,0.0,0.0,0.0,0.599091,0.0
0.0,0.0,0.0,0.9030978,0.0,0.0,0.0,0.0,0.0,5.051036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396865,0.0,0.2449706,2.126324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9668717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1881509,0.0,0.0,0.0,0.18515828,1.9281985,0.0,0.0,0.0,0.0,2.113389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58287185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3514926,0.0,0.0,0.0,0.0,0.0,0.0
