h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5,h_2_6,h_2_7,h_2_8,h_2_9,h_2_10,h_2_11,h_2_12,h_2_13,h_2_14,h_2_15,h_2_16,h_2_17,h_2_18,h_2_19,h_2_20,h_2_21,h_2_22,h_2_23,h_2_24,h_2_25,h_2_26,h_2_27,h_2_28,h_2_29,h_2_30,h_2_31,h_2_32,h_2_33,h_2_34,h_2_35,h_2_36,h_2_37,h_2_38,h_2_39,h_2_40,h_2_41,h_2_42,h_2_43,h_2_44,h_2_45,h_2_46,h_2_47,h_2_48,h_2_49
0.0,1.5826803,1.703224,0.0,0.0,0.0,0.0,0.0,2.6880822,0.0,0.0,2.2602158,0.0,1.2164174,1.086295,0.0,0.0,0.0,1.5840354,0.0,0.0,2.3541436,0.0,0.0,2.367115,2.3434582,2.182142,1.6509081,0.0,0.0,1.0038768,0.0,0.0,3.6595283,0.0,0.0,2.0428703,0.0,0.13863645,0.0,0.0,0.0,0.0,0.0,1.865351,0.0,0.0,0.0,0.0,0.0
0.78972673,0.87426025,0.29165578,0.0,0.8760133,0.0,0.0,0.0,1.0276852,0.46762052,0.0,0.3908253,0.9169328,0.14861828,0.5248807,0.5425433,0.0,0.0,0.08263593,0.0,0.0,0.33994535,0.0,0.97766644,0.52395177,0.4969842,0.5616469,0.30706802,0.9393843,0.0,0.41298512,0.8878175,0.0,1.5640758,0.0,0.0,0.67105645,0.10302259,0.0,0.0,0.666732,0.0,0.0,0.0,0.7395402,0.0,0.0,0.0,0.0,1.0025632
0.0,1.2603539,1.327486,0.0,0.27996832,0.0,0.0,0.0,2.5058663,0.0,0.0,2.1633086,0.0,0.9362707,1.1399102,0.0,0.0,0.0,1.5293957,0.0,0.0,1.9767286,0.0,0.0,2.0260277,1.950993,1.7204561,1.5787138,0.0,0.0,1.0348414,0.0,0.0,3.3436818,0.0,0.0,1.7774967,0.0,0.023650939,0.0,0.0,0.0,0.0,0.0,1.757526,0.0,0.0,0.0,0.0,0.0
0.30403742,0.96835417,0.66405475,0.0,0.488142,0.0,0.0,0.0,1.6661265,0.0,0.0,0.95228446,0.33097598,0.5522602,0.85574317,0.16927812,0.0,0.0,0.45013618,0.0,0.0,0.73163277,0.0,0.54991806,1.0519364,0.7994719,0.7163186,0.526982,0.29019368,0.0,0.49896914,0.42561755,0.0,2.0782578,0.0,0.0,1.0514939,0.0,0.0,0.0,0.18260843,0.0,0.0,0.0,1.0028545,0.0,0.0,0.0,0.0,0.41871905
0.0,1.3439021,1.4206218,0.0,0.1845068,0.0,0.0,0.0,2.452892,0.0,0.0,2.0613592,0.0,1.1132041,1.0327636,0.0,0.0,0.0,1.377104,0.0,0.0,1.9291444,0.0,0.0,1.9927479,1.936007,1.8950938,1.5313295,0.0,0.0,1.0169845,0.0,0.0,3.3026571,0.0,0.0,1.7619339,0.0,0.119948216,0.0,0.0,0.0,0.0,0.0,1.7170953,0.0,0.0,0.0,0.0,0.0
0.0,1.7090235,1.6352654,0.0,0.0,0.0,0.0,0.0,2.9624805,0.0,0.0,2.4782453,0.0,1.301728,1.0843041,0.0,0.0,0.0,1.5672681,0.0,0.0,2.4085195,0.0,0.0,2.305146,2.429135,2.2350001,1.7465369,0.0,0.0,1.0912286,0.0,0.0,4.0222445,0.0,0.0,2.0870194,0.0,0.24843705,0.0,0.0,0.0,0.0,0.0,2.1045642,0.0,0.0,0.0,0.0,0.0
0.0,1.5868291,1.8864121,0.0,0.0,0.0,0.0,0.0,3.0249593,0.0,0.0,2.3983061,0.0,1.2801378,1.0586572,0.0,0.0,0.0,1.6673738,0.0,0.0,2.5047984,0.0,0.0,2.5138538,2.3277016,2.2611368,1.880903,0.0,0.0,1.2798152,0.0,0.0,3.8655832,0.0,0.0,2.1735911,0.0,0.24787441,0.0,0.0,0.0,0.0,0.0,2.121346,0.0,0.0,0.0,0.0,0.0
1.7471695,0.14705944,0.0,0.0,1.0363272,0.0,0.0,0.0,0.18211755,0.4332455,0.0,0.0,1.3360109,0.0,0.5670855,1.1270148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368444,0.0,0.0,0.0,0.0,1.1828809,0.0,0.0,1.8092885,0.0,1.1909606,0.0,0.0,0.1156609,0.27792406,0.0,0.0,1.2576524,0.0,0.0,0.0,0.21288902,0.0,0.0,0.0,0.0,1.5554786
0.0,1.2275012,1.6615429,0.0,0.6610388,0.0,0.0,0.0,2.4240623,0.0,0.0,2.2180872,0.0,1.2519064,1.076385,0.0,0.0,0.0,1.7093285,0.0,0.0,2.411686,0.0,0.0,2.1654956,2.0587964,2.4305174,1.7999814,0.0,0.0,0.93008804,0.0,0.0,3.282409,0.0,0.0,1.7490268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7013482,0.0,0.0,0.0,0.0,0.0
0.0,1.9426638,2.2267704,0.0,0.0,0.0,0.0,0.0,3.4737427,0.0,0.0,2.9518993,0.0,1.659698,1.1908633,0.0,0.0,0.0,1.806044,0.0,0.0,3.0688403,0.0,0.0,2.863397,2.982907,2.7604444,2.2034702,0.0,0.0,1.3962263,0.0,0.0,4.5561986,0.0,0.0,2.6175237,0.0,0.20365608,0.0,0.0,0.0,0.0,0.0,2.3973565,0.0,0.0,0.0,0.0,0.0
