h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5,h_2_6,h_2_7,h_2_8,h_2_9,h_2_10,h_2_11,h_2_12,h_2_13,h_2_14,h_2_15,h_2_16,h_2_17,h_2_18,h_2_19,h_2_20,h_2_21,h_2_22,h_2_23,h_2_24,h_2_25,h_2_26,h_2_27,h_2_28,h_2_29,h_2_30,h_2_31,h_2_32,h_2_33,h_2_34,h_2_35,h_2_36,h_2_37,h_2_38,h_2_39,h_2_40,h_2_41,h_2_42,h_2_43,h_2_44,h_2_45,h_2_46,h_2_47,h_2_48,h_2_49
-0.12160402,-0.26502776,0.19905275,0.09454057,-0.06260072,-0.15499878,-0.39486396,-0.31288218,0.5534407,0.58479905,-0.39448687,0.2505915,0.403256,0.5231132,-0.24103464,-0.58795035,0.7079127,-0.01685309,0.4983582,-0.109361686,-0.10244258,-0.63059115,-0.76427644,0.6831277,0.2633783,-0.094339944,0.6404614,0.40722817,-0.32032746,-0.11297688,0.6328574,0.07580074,0.34304523,0.07887159,0.3614803,-0.09569518,0.674125,-0.2675917,-0.42410523,-0.5641212,0.042247407,0.419133,-0.28523225,-0.33145213,0.3397977,0.0402446,-0.12726274,0.3087903,0.46653786,0.278917
0.48022038,-0.21112071,-0.5388808,0.0667797,-0.32811278,0.51594883,0.4867736,0.24168748,-0.098428674,0.0127649205,0.37362272,-0.4884485,0.24903014,-0.09853907,0.22905539,-0.07091036,-0.009619884,0.52606446,-0.3494103,0.07888827,0.57646435,-0.28488377,-0.24797153,0.035357274,0.12820897,0.4915694,0.22876441,-0.44100392,-0.051703654,0.3091297,-0.14834917,-0.29080328,-0.01175857,0.28898224,-0.44027662,0.19076708,-0.30656418,-0.3099468,0.23881155,-0.25999966,0.48951805,-0.3628802,0.28996515,-0.26985872,-0.41630706,0.24298872,0.42164412,0.02806107,-0.12796839,0.27851826
0.07440488,-0.13078177,-0.05072219,0.21870872,-0.11598022,0.11690751,-0.023665972,-0.07907852,0.3740426,0.47160667,-0.13530254,0.013838018,0.3754205,0.37044302,-0.12336968,-0.40565062,0.49899098,0.15760781,0.22565144,-0.026105339,0.03148564,-0.50596637,-0.61087143,0.51571447,0.27076712,0.14078937,0.5338535,0.15526155,-0.16504359,0.043116726,0.4654148,0.029478839,0.18538207,0.04904517,0.21228543,0.040639095,0.47161072,-0.32831267,-0.25486836,-0.48857802,0.23424624,0.26071632,-0.06464634,-0.25481582,0.14995271,0.11226835,0.13713434,0.359552,0.31887227,0.23193696
-0.72310615,-0.42248455,0.81889373,0.35729116,0.25776768,-0.7460475,-0.87808233,-0.69719106,0.8363005,0.8583684,-0.8818283,0.83237195,0.76778793,0.8408055,-0.66030455,-0.8487421,0.914466,-0.65662247,0.92164814,-0.07128507,-0.8519399,-0.77161753,-0.9061834,0.92618775,0.52279776,-0.7779187,0.87217724,0.91713905,-0.5802702,-0.5624119,0.8865314,0.6785616,0.721858,-0.60077316,0.93318653,0.08567921,0.9722865,-0.28288436,-0.92835563,-0.7799086,-0.48337144,0.9431988,-0.40873352,-0.2512898,0.8602206,0.11696276,-0.77343994,0.7898601,0.92747664,0.25226948
-0.2691449,-0.2401806,0.33917287,0.2557782,-0.020041313,-0.1918001,-0.43049455,-0.37672278,0.5867743,0.6641791,-0.46134228,0.3774516,0.5966839,0.5498149,-0.27788642,-0.5942784,0.7187054,-0.060649224,0.5735453,-0.13570581,-0.30705744,-0.635853,-0.74023515,0.7527109,0.40136558,-0.3228895,0.6949308,0.5576377,-0.27693135,-0.14620632,0.65129447,0.2882734,0.36455554,-0.14324538,0.56675154,0.05738506,0.7744845,-0.24152367,-0.5925948,-0.5978669,-0.08943507,0.6518982,-0.19500358,-0.26345095,0.5427941,0.095831916,-0.22571094,0.47865143,0.62351865,0.33516917
-0.59824556,-0.2579803,0.7706577,0.15173917,0.31818047,-0.68961036,-0.8069944,-0.640686,0.6770871,0.6143285,-0.7535276,0.73283833,0.5966132,0.6178097,-0.49661377,-0.6505399,0.7744647,-0.55521876,0.83078825,-0.16936761,-0.74033594,-0.56984013,-0.66383153,0.74111,0.35300034,-0.76441324,0.56746006,0.82490927,-0.37532473,-0.51874596,0.62400126,0.55338323,0.5428301,-0.5069875,0.80748993,0.025315924,0.8774683,0.04760811,-0.75748134,-0.5181416,-0.5409108,0.8435503,-0.41996697,-0.1078835,0.7446598,-0.05232779,-0.7413627,0.4747954,0.74780744,0.1777272
-0.72161263,-0.111292906,0.83402485,0.225297,0.4412125,-0.80145097,-0.866326,-0.72871757,0.8075222,0.7459927,-0.8554798,0.83401436,0.5914479,0.7331761,-0.63182527,-0.68541384,0.845415,-0.68670636,0.88382024,-0.1946686,-0.8371926,-0.61011857,-0.7369775,0.8335015,0.36753023,-0.8004662,0.6416319,0.91467685,-0.3496238,-0.61869293,0.7848693,0.66708535,0.54210836,-0.6093799,0.8964192,-0.07437891,0.9449682,0.046384804,-0.84347254,-0.6265934,-0.6017494,0.9227702,-0.51941323,0.003290123,0.8554167,-0.06791554,-0.772415,0.66926503,0.81403387,0.114864044
-0.3408171,-0.24066867,0.36759505,0.26466954,0.00081228535,-0.26882914,-0.4826314,-0.34683818,0.57578933,0.6703166,-0.54960316,0.4433534,0.55225194,0.59661394,-0.34313595,-0.61464995,0.7244289,-0.21384193,0.6235555,-0.036113728,-0.42032695,-0.59297526,-0.76050514,0.75686866,0.38051954,-0.31007895,0.7267886,0.58081514,-0.32683107,-0.21522391,0.7004281,0.33734295,0.42558658,-0.24836309,0.64288825,0.07574058,0.8039591,-0.32484412,-0.6853171,-0.6088185,-0.05836691,0.6895873,-0.16089454,-0.22827066,0.54264534,0.14834216,-0.2882351,0.57243663,0.70445913,0.23499297
0.40922892,0.122992516,-0.46894976,-0.08998068,-0.16096027,0.48788568,0.5760292,0.44817942,-0.53572184,-0.41348103,0.57919407,-0.47637084,-0.43599778,-0.46224555,0.35060975,0.40523475,-0.462678,0.31880537,-0.591663,-0.030417033,0.54710037,0.32462153,0.373181,-0.56209135,-0.13766891,0.5268661,-0.37302652,-0.732107,0.18871874,0.24377677,-0.4611463,-0.35261708,-0.3730523,0.30062816,-0.65607977,-0.06099422,-0.7553379,-0.050665893,0.62625384,0.37838387,0.3209726,-0.71076304,0.102360085,-0.02598685,-0.5179216,-0.019499224,0.477432,-0.4169727,-0.5836366,-0.088989146
-0.5581189,-0.08872339,0.60796815,0.15485118,0.22890896,-0.5802165,-0.6791394,-0.5017214,0.612444,0.5523453,-0.6579225,0.62777334,0.44038913,0.54322284,-0.46615413,-0.48626924,0.6084043,-0.4936541,0.70423096,-0.032002684,-0.69802535,-0.3838356,-0.54234654,0.6716665,0.20738956,-0.58095866,0.49306688,0.78473955,-0.20596282,-0.37064898,0.61889213,0.5312721,0.38384843,-0.47026405,0.7848348,0.02435928,0.8439428,-0.03588363,-0.7345293,-0.4533956,-0.35874534,0.79861677,-0.22450662,0.017743738,0.637515,0.017183159,-0.5342488,0.55991536,0.6993807,0.06609331
