h_3_0,h_3_1
0.99999964,3.5461056e-07
0.00011079464,0.99988914
3.096435e-06,0.9999969
0.005166665,0.99483335
0.99998975,1.0264952e-05
0.00034539346,0.99965465
1.0,2.5258502e-09
1.0,3.3160394e-10
1.0,1.7144041e-09
1.0,7.0689405e-09
1.0,6.131255e-09
1.0,2.104253e-09
1.0,1.8552894e-10
7.582106e-05,0.9999242
1.0,5.8221983e-09
0.99999344,6.539714e-06
1.0,1.003025e-09
2.1665185e-06,0.99999785
0.0024902662,0.9975097
1.0,3.9993906e-09
1.0,6.5158163e-09
0.9999999,9.09613e-08
1.0,7.767504e-09
7.060508e-08,0.9999999
0.99999964,3.230876e-07
0.962723,0.037277035
0.007206536,0.99279344
0.009582904,0.9904171
0.00010492069,0.9998951
1.0,9.984383e-10
1.0,1.48145425e-08
4.6049544e-07,0.9999995
0.99721056,0.0027894885
1.0,2.3890074e-08
1.0,3.991954e-08
0.00058260845,0.9994174
1.0,4.2085e-09
1.0,1.6321566e-08
1.0,9.556594e-10
0.9999999,5.96878e-08
1.0,5.424368e-10
1.0,5.2553123e-10
0.00089620973,0.9991037
1.0,7.175602e-10
8.03107e-05,0.99991965
1.0875847e-06,0.9999989
1.0,5.116925e-10
1.932607e-05,0.9999807
1.0,2.1883285e-08
1.0,4.610071e-09
0.9999999,8.864835e-08
1.0,1.0252768e-09
2.4408517e-05,0.99997556
1.0,2.2108554e-10
1.0,7.2810974e-10
0.99999774,2.257386e-06
0.99999857,1.4202315e-06
0.0059027188,0.99409723
1.0,5.746029e-10
0.9999269,7.302899e-05
0.9999107,8.933537e-05
1.0,3.859021e-09
0.9998324,0.00016763533
0.0006704342,0.99932957
1.0,2.436052e-08
1.5797408e-05,0.99998415
0.9955373,0.0044626906
1.0,4.727159e-10
0.0001098883,0.9998901
1.0,7.6158685e-10
1.0,1.1266075e-08
0.00050340657,0.9994966
1.0,3.351147e-08
1.0,1.13164e-09
1.0,3.253541e-09
1.0,4.1326796e-08
0.9764315,0.023568533
1.0,2.9987548e-09
0.9999999,1.764061e-07
1.1448682e-05,0.99998856
1.0,5.274523e-10
2.7588353e-06,0.99999726
1.0,1.5405393e-08
0.9999987,1.3400986e-06
1.0,2.3634217e-09
0.9999999,9.7814585e-08
0.9999999,7.658468e-08
0.9791515,0.02084857
3.2909923e-06,0.99999666
1.0,1.0587395e-08
1.0,3.2001946e-08
1.0,8.5462554e-10
1.8429599e-05,0.9999815
0.0010411614,0.9989588
0.99999917,8.435521e-07
1.0,1.1013008e-09
0.00012920889,0.9998708
1.3476173e-07,0.9999999
1.0,2.028587e-09
0.00013615236,0.99986386
1.0,8.975569e-10
1.0,1.0931431e-09
1.9709026e-07,0.99999976
1.0,4.809532e-09
1.0,1.2748835e-08
0.9999964,3.545007e-06
1.0,4.247507e-09
0.9999994,5.93632e-07
0.99999964,3.2867192e-07
1.0,6.662495e-11
1.0,1.5665133e-08
0.00875851,0.99124146
1.0,2.1544158e-10
1.0,4.063036e-10
0.9999999,9.105608e-08
1.0,3.126132e-09
1.0,5.395991e-10
1.0,5.665406e-08
1.0,2.4350426e-09
0.9999993,7.127035e-07
5.6884805e-06,0.9999943
7.1575078e-06,0.99999285
1.0,3.2246078e-10
1.0,4.807936e-09
1.0,1.2715995e-09
1.0,3.3668338e-10
1.0,2.7846427e-09
0.0017340232,0.99826604
1.0,1.1826241e-08
0.993582,0.006418003
0.9999999,1.2964705e-07
1.0,2.245971e-10
1.0,1.0925934e-08
0.9999999,7.869508e-08
0.9999924,7.662378e-06
