h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9
-0.6775766,0.6445048,-0.7258667,0.8449115,-0.7221688,0.82146895,0.43563884,-0.5984907,0.6521278,0.59184504
0.21201487,-0.3255166,0.5001492,-0.15524226,0.1644716,-0.20462826,-0.39864767,0.03605818,-0.31381902,-0.4214637
0.1985799,-0.28740156,0.011813863,0.16999596,0.28765866,-0.46498483,-0.43604642,0.094681405,-0.36711133,-0.34219283
-0.46230942,0.2695176,-0.62760687,0.6700305,-0.45415422,0.37923446,0.38897553,-0.5159882,0.39120957,0.4585507
-0.12818943,-0.04456738,-0.34359518,0.51408076,-0.07223005,0.16091076,0.14307623,-0.085582264,0.12214257,-0.02690922
-0.1008255,0.051077567,-0.2605206,0.22755928,-0.06379043,-0.1519947,0.0018160851,0.114698716,0.23966898,-0.30764174
0.30774528,-0.05081952,0.43035746,-0.06609304,0.16727379,-0.3134417,0.010087706,0.07873324,-0.17786954,-0.07618705
0.44726172,-0.3771142,0.2893256,-0.3102569,0.22182642,-0.27842703,-0.3887379,0.36552575,-0.3192522,-0.35806853
0.18213116,-0.35109946,-0.3538825,-0.0059052566,0.0120778475,-0.23825799,-0.09905319,0.20902047,0.03887405,-0.21718463
-0.7099949,0.28263637,-0.6817772,0.6968356,-0.5268175,0.6660334,0.4827927,-0.6027701,0.4785873,0.44031033
0.57392114,-0.12347718,0.36150023,-0.070846975,-0.047977027,-0.5151078,-0.08730344,0.36082214,-0.32657892,-0.33092794
0.38304803,0.12302514,0.5022011,-0.18174338,-0.079544075,-0.4281339,-0.02675878,0.18884669,-0.26342666,-0.5022673
0.05078994,-0.01989285,-0.05746234,0.25472048,0.0647679,0.38780692,0.036970586,-0.12219355,0.27645066,0.24415493
-0.40129566,0.29933947,-0.6647411,0.8213472,-0.45020938,0.4016099,0.14384703,-0.7244167,0.41251552,0.6209314
0.013532685,0.23131126,-0.2149699,0.012992602,-0.1367912,0.59542423,0.04974805,-0.20487684,0.123243324,0.46325722
0.041087855,0.034103733,-0.17141567,0.5637846,0.031166663,-0.115705065,-0.18846153,-0.049289785,0.024846956,-0.054410048
-0.22834979,0.061253518,-0.5554816,0.2985889,-0.13952745,0.14425647,0.22625333,-0.14994065,0.3394541,-0.016181014
-0.48328376,0.15399314,-0.53133154,0.69022304,-0.11365518,0.35140517,0.22018991,-0.13700128,0.42223656,0.3381169
-0.34135985,0.24465819,-0.444631,0.6570876,-0.19854037,0.40649295,0.11296013,-0.3517466,0.31761205,0.023169264
-0.62621653,0.40552783,-0.33144552,0.5891786,-0.58047396,0.44672966,0.52242565,-0.35382313,0.6015338,0.4564165
-0.8122672,0.63732356,-0.7662815,0.8390392,-0.72774845,0.8242993,0.75601304,-0.727605,0.8021858,0.65385634
-0.7581867,0.40392426,-0.22137976,0.82235974,-0.6105639,0.7037371,0.43815973,-0.23083268,0.55597544,0.6488515
-0.5500155,0.55739814,-0.38812307,0.6123022,-0.41998717,0.6506555,0.45717612,-0.3370447,0.5401657,0.3274728
-0.5942555,0.34850693,-0.38111162,0.7660066,-0.33101082,0.5073219,0.25126377,-0.25308394,0.57221144,0.38704517
-0.3125334,0.53366095,-0.26732793,0.48945054,-0.62217194,0.7025418,0.45658606,-0.5328719,0.29514793,0.48468322
0.04964703,-0.24293575,0.096871436,-0.007273721,0.3798701,-0.38527417,-0.10274775,0.3331945,-0.24870826,-0.567299
-0.6461043,0.6015352,-0.7599186,0.8650531,-0.66575307,0.7939583,0.55339634,-0.6334503,0.62995315,0.5596325
-0.58112097,0.56190497,-0.5474308,0.73665106,-0.498239,0.5841097,0.50775933,-0.22810438,0.6171979,0.33093157
-0.70271116,0.66284853,-0.76693445,0.7849793,-0.62481225,0.5174065,0.6012308,-0.58390313,0.45200497,0.34724495
-0.23500466,0.19075364,-0.08975128,0.24487786,-0.47192392,0.48512685,0.2175708,-0.2063345,0.24713615,0.20354724
-0.029402498,-0.1416604,0.008111907,-0.46307737,0.0754329,-0.14645082,-0.16050065,0.18750294,-0.27014056,0.02886585
-0.37705532,0.19685337,-0.2864153,0.60772514,-0.32998717,0.2623438,0.118785076,0.09528535,0.29334685,0.26869458
0.47408774,0.2110931,0.30524305,-0.2571054,-0.32042816,-0.57766193,-0.2003625,0.44075972,-0.37313402,-0.18244205
-0.3732807,-0.10089205,-0.19549315,0.51587594,-0.19950493,0.060147073,0.10861095,-0.0890178,0.15322089,0.15164332
-0.37793908,0.4572003,-0.48373315,0.7736091,-0.38514093,0.5192753,0.40039676,-0.52058667,0.3027898,0.52532035
-0.21244015,0.13808447,-0.1276289,0.36662897,-0.12759236,0.24195312,0.14925115,-0.12874484,0.20529273,0.19242671
-0.63086385,0.56387013,-0.45284435,0.7736276,-0.5761536,0.82106847,0.52213806,-0.56527925,0.697404,0.61856806
-0.24031577,0.23368704,-0.19374253,0.47311625,-0.3424248,0.32255298,0.2666016,-0.06555414,0.20881811,0.31818813
-0.4377352,0.39831266,-0.19277011,0.1145539,-0.4185132,0.45043638,0.45972338,-0.3346457,0.34531337,0.25180203
-0.56359684,0.47730306,-0.46584082,0.6885505,-0.3003908,0.75816923,0.3326331,-0.43978208,0.56651944,0.3585698
-0.36946577,0.5160127,-0.28211027,0.77505225,-0.38790533,0.477485,0.3378378,-0.30824646,0.33928853,0.3666925
-0.6140363,0.32971752,-0.69960195,0.6989252,-0.2355208,0.596979,0.35375053,-0.5829923,0.42964977,0.27880642
0.015376974,-0.4499571,0.44739264,-0.008471733,0.579165,0.12766942,-0.1788308,0.33016646,-0.4350984,-0.24417743
-0.028729355,-0.2044339,-0.07980574,0.1128269,0.1793703,-0.07901065,-0.20359161,0.03628801,-0.18537515,-0.21812274
-0.56487715,0.19249785,-0.49905068,0.41634485,-0.39357483,0.48877132,0.4600577,-0.4097603,0.47701702,0.221094
-0.33395943,0.21815006,-0.60293597,0.57287735,-0.40840527,0.21173258,0.30683857,-0.3944395,0.43995103,0.39972436
0.31710237,-0.33406344,0.26281518,-0.3003518,0.38482022,-0.22392917,-0.3355279,-0.003237484,-0.03647995,-0.33129883
-0.6519988,0.32010528,-0.57519555,0.5119996,-0.16803831,0.6016484,0.5640598,-0.5592309,0.5754814,0.40619376
-0.28260872,0.2933377,-0.34495556,0.423525,-0.3852668,0.43611234,0.28546417,-0.2910638,0.31173593,0.5362593
0.4086359,0.0067540435,0.016152918,-0.28649002,-0.20155357,-0.24948329,-0.17971957,0.28332257,-0.34707928,-0.08582156
-0.4962381,0.18423729,-0.15149815,0.6833904,-0.49481717,0.5680421,0.30532575,-0.3394127,0.29299858,0.34071666
0.08001537,0.1493492,-0.2518847,0.17652771,-0.20191714,0.08893259,0.03888751,-0.10694933,-0.16307011,0.1501728
-0.5322985,0.33625254,-0.51827806,0.65696436,-0.4442596,0.5649977,0.32253566,-0.5736135,0.42050302,0.4187377
-0.68401587,0.6247603,-0.61810267,0.6405293,-0.464347,0.5702235,0.6135313,-0.464465,0.59984297,0.20228085
-0.628182,0.5059415,-0.4671383,0.39526704,-0.31118357,0.47062662,0.55990595,-0.30678576,0.5675756,0.02961602
-0.3280734,0.13284506,-0.27678508,0.40651125,-0.26881915,0.1450616,0.090735696,-0.21295625,0.19016488,0.1623552
-0.49480528,0.15675367,-0.24506387,0.25836903,-0.32748872,0.6586234,0.49719298,-0.33861628,0.48830095,0.33970624
-0.66044605,0.6192195,-0.7515734,0.7362782,-0.5775204,0.5971339,0.6120348,-0.58039135,0.63291866,0.32651877
