h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7
-0.5451047,-0.9647111,-0.97629493,-0.9996223,0.37304574,-0.9912921,0.61511725,0.6148354
-0.8490645,0.03946566,-0.0074964543,-1.0,0.99997735,-0.9310721,0.9999509,0.92706716
-0.94267505,0.8749652,0.92534333,-1.0,0.9999999,-0.3538938,0.9999993,0.9622957
-0.9593185,0.39498743,0.59870774,-1.0,0.99995935,-0.7748929,0.9999582,0.927174
-0.4106831,-0.9613099,-0.9825025,-0.99972963,0.7583257,-0.9922315,0.76893485,0.70227844
-0.7871142,-0.736479,-0.72188854,-0.99999934,0.99653876,-0.97346747,0.9941597,0.8950744
0.040673986,-0.9991619,-0.9995333,0.9984843,-0.99974287,-0.9987463,-0.9992641,0.33965313
-0.8145483,-0.95081794,-0.9520861,-0.9966792,0.13684659,-0.9919302,0.54875684,0.74917454
-0.4393654,-0.9666369,-0.9754449,-0.99963456,0.6699537,-0.99140066,0.60011476,0.74652016
-0.9815864,0.83386874,0.8944955,-1.0,0.99999976,-0.84172475,0.9999997,0.9513278
-0.93064475,0.46467102,0.48503652,-1.0,0.9999704,-0.77268964,0.99996656,0.9295898
-0.86501765,-0.5309337,-0.27092013,-0.99999917,0.99440545,-0.88123554,0.9922918,0.8904969
-0.88766205,-0.5104295,-0.4437076,-0.9999996,0.9938696,-0.9065358,0.9960286,0.7491471
-0.21548414,-0.9942633,-0.9965653,-0.28760073,-0.9587351,-0.9964344,-0.92496306,0.61392903
-0.7375952,-0.5706606,-0.6246239,-0.99999976,0.9972888,-0.9008982,0.99674684,0.83689666
-0.9589371,0.5015669,0.6111313,-1.0,0.9999422,-0.7508269,0.99995863,0.8569014
-0.9717513,0.8989667,0.949036,-1.0,0.9999999,-0.39943758,0.99999964,0.96820176
-0.7498715,-0.9559656,-0.96504736,-0.9991437,0.5496558,-0.9921661,0.6949185,0.66590154
-0.8326339,-0.7573751,-0.7349215,-0.9999995,0.9945502,-0.9771411,0.99425346,0.79572004
-0.8481544,-0.588769,-0.36284915,-0.9999998,0.9923867,-0.87956274,0.99230075,0.73068404
-0.32930332,-0.9678985,-0.9834407,-0.9996898,0.6217488,-0.99215084,0.6775581,0.7970444
-0.48102728,-0.9383507,-0.9267184,-0.99977,0.5669079,-0.95325273,0.49794245,0.6687103
-0.9834189,0.9078141,0.96425015,-1.0,0.9999999,-0.35474294,0.9999994,0.93401164
-0.71728957,-0.9542871,-0.97098935,-0.99920154,0.52517676,-0.99269336,0.7248506,0.55947345
-0.99330425,0.9870098,0.9957544,-1.0,1.0,0.06932445,1.0,0.97499
-0.91508526,-0.7049629,-0.6305573,-0.9999989,0.9965282,-0.97942024,0.9956564,0.825397
-0.87678,-0.72311586,-0.67336744,-0.99999964,0.99699855,-0.97575456,0.9955905,0.77766603
-0.9726529,0.8337281,0.81785274,-1.0,0.9999999,-0.8637354,0.99999964,0.94677585
-0.8855806,0.33782744,0.32813975,-1.0,0.999981,-0.7765707,0.9999697,0.93619287
-0.41671178,-0.9940596,-0.9966463,-0.087992094,-0.92101246,-0.99751425,-0.8778785,0.6726883
-0.015566878,-0.9954199,-0.9970985,-0.6955603,-0.93100417,-0.9964262,-0.9282432,0.43776652
-0.8733854,0.13369948,0.02029307,-1.0,0.99998665,-0.9317588,0.9999668,0.88927174
-0.32330143,-0.9911193,-0.9876055,-0.5455722,-0.9537805,-0.9821317,-0.9512859,0.54985994
-0.54266477,-0.9597618,-0.962943,-0.99945307,0.60577995,-0.9889151,0.52100605,0.7403701
-0.9666267,0.42750582,0.75159574,-1.0,0.9999224,-0.7108278,0.9999108,0.913141
